ID	DrugID
18463	1464
18464	1464
18465	1464
18466	1464
18467	1464
18468	1464
18469	1464
18470	1464
18471	1464
18472	1464
18473	1464
18474	1464
18475	1464
18476	1464
18477	1464
24475	1464
24476	1464
24477	1464
24478	1464
24479	1464
24480	1464
24481	1464
24482	1464
24483	1464
24484	1464
6090	2570
6095	2570
6100	2570
6214	2570
6216	2570
6218	2570
6092	3519
6097	3519
6102	3519
11943	3519
11947	3519
11951	3519
12993	3519
12997	3519
13001	3519
6121	2737
6122	2737
6123	2737
12315	2737
12316	2737
12317	2737
14428	2737
14432	2737
14436	2737
18025	2737
18027	2737
18029	2737
6127	359
6129	359
6131	359
6875	359
6877	359
6879	359
13710	359
13712	359
13714	359
13716	359
13718	359
13720	359
16982	359
16984	359
16986	359
19065	359
19067	359
19069	359
19071	359
19073	359
19075	359
19077	359
19079	359
19081	359
19083	359
19085	359
19087	359
19089	359
19091	359
19093	359
19095	359
19097	359
19099	359
19101	359
19103	359
19105	359
6128	2873
6130	2873
6132	2873
6359	2873
6360	2873
6361	2873
6362	2873
6363	2873
6364	2873
6365	2873
6366	2873
6367	2873
6876	2873
6878	2873
6880	2873
11784	2873
11785	2873
11786	2873
12620	2873
12624	2873
12628	2873
12919	2873
12921	2873
12923	2873
12925	2873
12927	2873
12929	2873
12931	2873
12933	2873
12935	2873
14751	2873
14753	2873
14755	2873
15826	2873
15830	2873
15840	2873
15842	2873
15844	2873
15846	2873
15848	2873
15850	2873
15852	2873
15854	2873
15856	2873
16059	2873
16063	2873
16067	2873
16983	2873
16985	2873
16987	2873
24592	2873
24594	2873
24596	2873
24598	2873
24600	2873
24602	2873
24604	2873
24606	2873
24608	2873
24610	2873
6133	2879
6134	2879
6135	2879
6136	2970
6137	2970
6138	2970
6478	2970
6479	2970
6480	2970
8330	2970
8331	2970
8332	2970
9613	2970
9614	2970
9615	2970
27969	2970
27970	2970
6139	3345
6140	3345
6141	3345
6178	2125
6179	2125
6180	2125
6181	2125
6182	2125
6183	2125
6427	2125
6428	2125
6429	2125
6276	1955
6277	1955
6278	1955
6288	2110
6289	2110
6290	2110
6291	2110
6292	2110
6293	2110
6294	2110
6295	2110
6296	2110
6421	2110
6422	2110
6423	2110
6424	2110
6425	2110
6426	2110
10035	2110
10036	2110
10037	2110
10038	2110
10039	2110
10040	2110
10041	2110
10042	2110
10043	2110
10044	2110
10045	2110
12112	2110
12114	2110
12116	2110
12118	2110
12120	2110
12122	2110
13503	2110
13504	2110
13505	2110
13506	2110
13507	2110
13508	2110
24170	2110
24171	2110
24172	2110
28256	2110
28257	2110
28258	2110
28262	2110
6338	2684
6339	2684
6340	2684
6368	2887
6369	2887
6370	2887
11826	2887
11827	2887
11828	2887
16341	2887
16342	2887
16343	2887
16886	2887
16887	2887
16888	2887
21027	2887
21028	2887
21029	2887
27305	2887
27306	2887
27307	2887
27308	2887
27309	2887
27310	2887
6377	2293
6378	2293
6379	2293
7733	2293
7734	2293
7735	2293
6388	2915
6389	2915
6390	2915
6394	3238
6395	3238
6396	3238
8524	3238
8527	3238
8530	3238
6466	2052
6467	2052
6468	2052
6469	2052
6470	2052
6471	2052
6566	2052
6567	2052
6568	2052
8072	2052
8073	2052
8074	2052
10703	2052
10704	2052
10705	2052
14374	2052
14376	2052
14378	2052
14637	2052
14638	2052
14639	2052
16799	2052
16800	2052
16801	2052
16954	2052
16957	2052
16960	2052
18236	2052
18238	2052
18240	2052
18242	2052
18244	2052
18246	2052
18257	2052
18259	2052
18261	2052
18263	2052
18265	2052
18267	2052
18283	2052
18284	2052
18285	2052
21457	2052
21458	2052
21459	2052
21460	2052
21461	2052
21462	2052
21604	2052
21605	2052
21606	2052
24630	2052
24631	2052
24632	2052
24633	2052
24634	2052
24635	2052
24636	2052
24637	2052
24638	2052
24639	2052
24640	2052
24641	2052
24642	2052
24643	2052
24644	2052
24645	2052
24646	2052
24647	2052
24648	2052
24649	2052
24650	2052
24651	2052
24652	2052
24653	2052
24654	2052
24655	2052
24656	2052
24657	2052
24658	2052
24659	2052
24660	2052
24661	2052
24662	2052
24663	2052
24664	2052
24665	2052
24666	2052
24667	2052
24668	2052
24669	2052
24670	2052
24671	2052
24672	2052
24673	2052
24674	2052
24675	2052
24676	2052
24677	2052
24678	2052
24679	2052
24680	2052
24681	2052
24682	2052
24683	2052
24684	2052
24685	2052
24686	2052
24687	2052
24688	2052
24689	2052
24690	2052
24691	2052
24692	2052
24693	2052
24694	2052
24695	2052
24696	2052
24697	2052
24698	2052
24699	2052
24700	2052
24701	2052
24702	2052
24703	2052
24704	2052
24705	2052
24706	2052
24707	2052
24708	2052
24709	2052
24710	2052
24711	2052
24712	2052
24713	2052
24714	2052
24715	2052
24716	2052
24717	2052
24718	2052
24719	2052
24720	2052
6484	2149
6485	2149
6486	2149
13536	2149
13538	2149
13540	2149
13542	2149
13544	2149
13546	2149
13548	2149
13550	2149
13552	2149
6580	2091
6583	2091
6586	2091
13448	2091
13452	2091
13456	2091
16366	2091
16369	2091
16372	2091
16694	2091
16698	2091
16702	2091
18378	2091
18381	2091
18384	2091
6587	1692
6589	1692
6591	1692
11224	1692
11227	1692
11230	1692
23106	1692
6608	205
6610	205
6612	205
24611	205
6609	823
6611	823
6613	823
24612	823
6641	1189
6642	1189
6643	1189
6677	1693
6679	1693
6681	1693
11225	1693
11228	1693
11231	1693
6713	3169
6714	3169
6715	3169
18415	3169
18416	3169
18417	3169
6797	2850
6798	2850
6799	2850
6908	1048
6909	1048
6910	1048
14889	1048
14891	1048
14893	1048
7000	3052
7001	3052
7187	3052
7188	3052
7201	3052
7202	3052
7397	3052
7398	3052
7493	3052
7494	3052
7528	3052
7529	3052
7005	1476
7006	1476
7019	1476
7020	1476
7025	1476
7026	1476
7027	1476
7028	1476
7399	1476
7400	1476
7007	2065
7008	2065
7009	2065
7010	2065
7011	3278
7012	3278
7222	3278
7223	3278
7021	1768
7022	1768
7214	1768
7215	1768
7488	1768
7489	1768
7530	1768
7531	1768
7023	183
7024	183
7029	183
7030	183
7031	183
7032	183
7033	183
7034	183
11623	183
11624	183
12735	183
12736	183
12737	183
12738	183
7095	2468
7096	2468
7097	2468
7098	2468
7099	2468
7100	2468
7184	2468
7185	2468
7186	2468
7886	2468
7887	2468
7888	2468
15763	2468
15764	2468
15765	2468
15766	2468
15767	2468
15768	2468
15769	2468
15770	2468
15771	2468
15772	2468
15773	2468
15774	2468
23095	2468
23201	2468
23205	2468
23730	2468
23731	2468
23762	2468
24119	2468
24326	2468
24470	2468
24472	2468
27142	2468
28150	2468
7102	3170
7104	3170
7106	3170
7108	3170
7110	3170
7112	3170
7815	3170
7817	3170
7819	3170
16568	3170
16570	3170
16572	3170
16574	3170
16576	3170
16578	3170
16580	3170
16582	3170
16584	3170
7198	3294
7199	3294
7200	3294
9718	3294
9720	3294
9722	3294
10332	3294
10334	3294
10336	3294
11344	3294
11345	3294
11346	3294
11347	3294
11348	3294
11349	3294
14206	3294
14207	3294
14208	3294
7212	1070
7213	1070
7216	2173
7217	2173
7218	2173
7219	2173
7220	173
7221	173
7324	3110
7329	3110
7334	3110
7522	776
7524	776
7526	776
7925	776
7927	776
7929	776
7563	4427
7565	4427
7567	4427
24107	4427
24109	4427
24111	4427
24113	4427
24115	4427
24117	4427
7578	771
7580	771
7582	771
7727	1114
7728	1114
7729	1114
10670	1114
10673	1114
10676	1114
11062	1114
11065	1114
11068	1114
11095	1114
11096	1114
11097	1114
28012	1114
28013	1114
28014	1114
28015	1114
28016	1114
28017	1114
28018	1114
28019	1114
28020	1114
28021	1114
7736	1486
7737	1486
7738	1486
7739	1486
7740	1486
7741	1486
7742	1486
7743	1486
7744	1486
7959	2494
7961	2494
7963	2494
8054	598
8060	598
8066	598
18355	598
18356	598
18357	598
8056	1404
8062	1404
8068	1404
12111	1404
12113	1404
12115	1404
12117	1404
12119	1404
12121	1404
8057	1494
8063	1494
8069	1494
15700	1494
15706	1494
15712	1494
15718	1494
15724	1494
15730	1494
16647	1494
16653	1494
16659	1494
16668	1494
16674	1494
16680	1494
16913	1494
16914	1494
16915	1494
8058	2168
8064	2168
8070	2168
8059	3315
8065	3315
8071	3315
14421	3315
14422	3315
14423	3315
14424	3315
14425	3315
14426	3315
8121	1599
8125	1599
8129	1599
8123	3080
8127	3080
8131	3080
10155	3080
10156	3080
10157	3080
10790	3080
10791	3080
10792	3080
13982	3080
13983	3080
22644	3080
22645	3080
22646	3080
23131	3080
23132	3080
23133	3080
28022	3080
28023	3080
28024	3080
8217	654
8221	654
8225	654
8228	654
8229	654
8230	654
14445	654
14446	654
14447	654
8343	1819
8345	1819
8347	1819
8349	1819
8351	1819
8353	1819
10047	1819
10049	1819
10051	1819
10053	1819
10055	1819
10057	1819
10195	1819
10198	1819
10201	1819
10478	1819
10479	1819
10480	1819
10482	1819
10485	1819
10488	1819
10490	1819
10491	1819
10492	1819
10643	1819
10644	1819
10645	1819
10646	1819
10647	1819
10648	1819
10662	1819
10664	1819
10666	1819
10966	1819
10967	1819
10968	1819
10969	1819
10970	1819
10971	1819
10973	1819
10975	1819
10977	1819
11086	1819
11087	1819
11088	1819
11090	1819
11092	1819
11094	1819
13332	1819
13334	1819
13336	1819
16169	1819
16172	1819
16175	1819
21030	1819
21031	1819
21032	1819
21033	1819
21034	1819
21035	1819
21036	1819
21037	1819
21038	1819
21039	1819
21040	1819
21041	1819
21042	1819
21043	1819
21044	1819
21045	1819
21046	1819
21047	1819
21048	1819
21049	1819
21050	1819
21051	1819
21052	1819
21053	1819
21054	1819
21055	1819
21056	1819
21057	1819
21058	1819
21059	1819
21060	1819
21061	1819
21062	1819
21063	1819
21064	1819
21065	1819
21066	1819
21067	1819
21068	1819
21069	1819
21070	1819
21071	1819
21072	1819
21073	1819
21074	1819
21075	1819
21076	1819
21077	1819
21078	1819
21079	1819
21080	1819
21081	1819
21082	1819
21083	1819
21084	1819
21085	1819
21086	1819
21087	1819
21088	1819
21089	1819
21090	1819
21091	1819
21092	1819
21093	1819
21094	1819
21095	1819
8357	2594
8358	2594
8359	2594
9656	2594
9658	2594
9660	2594
11338	2594
11339	2594
11340	2594
12645	2594
12646	2594
12647	2594
12648	2594
12649	2594
12650	2594
15556	2594
15557	2594
15558	2594
15814	2594
15815	2594
15816	2594
17348	2594
17349	2594
17350	2594
17351	2594
17352	2594
17353	2594
17354	2594
17355	2594
17356	2594
24177	2594
24178	2594
24179	2594
24180	2594
24181	2594
24182	2594
24183	2594
24184	2594
24185	2594
24186	2594
24187	2594
24188	2594
8441	3162
8445	3162
8449	3162
8549	3162
8553	3162
8557	3162
8561	3162
8565	3162
8569	3162
15597	3162
15598	3162
15599	3162
8474	399
8487	399
8500	399
10089	399
10090	399
10091	399
10092	399
10093	399
10094	399
13289	399
13294	399
13299	399
13889	399
13892	399
13895	399
14155	399
14156	399
14157	399
14987	399
14988	399
14989	399
15553	399
15554	399
15555	399
8483	2527
8496	2527
8509	2527
13252	2527
13253	2527
13254	2527
13787	2527
13797	2527
13807	2527
13958	2527
13968	2527
13978	2527
15958	2527
15968	2527
15978	2527
15994	2527
16004	2527
16014	2527
16279	2527
16289	2527
16299	2527
16309	2527
16319	2527
16329	2527
24168	2527
24169	2527
8615	1181
8616	1181
8617	1181
9316	1181
9317	1181
9318	1181
8624	1320
8625	1320
8626	1320
8627	1320
8628	1320
8629	1320
8678	1320
8679	1320
8680	1320
10661	1320
10663	1320
10665	1320
11315	1320
11317	1320
11319	1320
12211	1320
12213	1320
12215	1320
12217	1320
12219	1320
12221	1320
13331	1320
13333	1320
13335	1320
14062	1320
14063	1320
14064	1320
14110	1320
14111	1320
14112	1320
14191	1320
14192	1320
14193	1320
16168	1320
16171	1320
16174	1320
28327	1320
28328	1320
28329	1320
8633	3461
8634	3461
8635	3461
15210	3461
15211	3461
15212	3461
8965	744
8966	744
8967	744
8968	1737
8969	1737
8970	1737
8971	1737
9088	854
9089	854
9090	854
